Ref.Data,Citta,Zona,Address,Price,Dimension (m2),Floor,Ascensore,Rooms,Bathrooms,Build.Date,Stato
07/05/2023,Torino,Parella,via Carlo Capelli,208000,80,5,Si,3,1,,Nuovo / In costruzione
07/05/2023,Torino,Nizza Millefonti,via Genova,149000,60,4,Si,2,1,,Nuovo / In costruzione
07/05/2023,Torino,Aurora,via Bologna,227000,80,4,Si,4,1,,Nuovo / In costruzione
07/05/2023,Torino,Nizza Millefonti,via Ventimiglia,270000,100,4,Si,3,1,,Nuovo / In costruzione
07/05/2023,Torino,Vanchiglia,via Vanchiglia,244000,80,4,Si,3,1,,Nuovo / In costruzione
07/05/2023,Torino,San Salvario - Dante,via Nizza,341000,100,1,Si,5,1,,Nuovo / In costruzione
07/05/2023,Torino,Nizza Millefonti,via Nizza,244000,90,8,Si,3,1,,Nuovo / In costruzione
07/05/2023,Torino,San Salvario - Dante,corso Dante Alighieri,487000,160,4,Si,5,2,,Nuovo / In costruzione
07/05/2023,Torino,Crocetta,corso Germano Sommeiller,365000,90,3,Si,4,1,,Nuovo / In costruzione
07/05/2023,Torino,Santa Rita,via Castelgomberto,248000,95,4,Si,3,1,,Nuovo / In costruzione
07/05/2023,Torino,Mirafiori Nord,corso Cosenza,211000,85,6,Si,3,1,,Nuovo / In costruzione
07/05/2023,Torino,San Paolo,via Carso,244000,85,3,Si,3,2,,Nuovo / In costruzione
07/05/2023,Torino,Santa Rita,corso Rosselli,299000,95,4,Si,3,1,,Nuovo / In costruzione
07/05/2023,Torino,Pozzo Strada,via Tofane,265000,90,4,Si,3,1,,Nuovo / In costruzione
07/05/2023,Torino,Santa Rita,corso Carlo E Nello Rossalli,454000,140,2,Si,4,2,,Nuovo / In costruzione
07/05/2023,Torino,Crocetta,via San Secondo,249000,80,2,Si,3,1,,Nuovo / In costruzione
07/05/2023,Torino,Aurora,via Cigna,177000,80,5,Si,3,1,,Nuovo / In costruzione
07/05/2023,Torino,San Salvario - Dante,via Nizza,318000,95,2,Si,4,1,,Nuovo / In costruzione
07/05/2023,Torino,San Secondo,via Lodovico Antonio Muratori,351000,100,6,Si,4,1,,Nuovo / In costruzione
07/05/2023,Torino,Nizza Millefonti,via Pietro Baiardi,199000,95,1,No,3,1,,Nuovo / In costruzione
07/05/2023,Torino,San Salvario - Dante,via Tommaso Grossi,289000,95,3,Si,3,1,,Nuovo / In costruzione
07/05/2023,Torino,Lingotto,via Nizza,221000,100,5,Si,3,1,,Nuovo / In costruzione
07/05/2023,Torino,San Salvario - Dante,corso Raffaello,281000,85,6,Si,3,1,,Nuovo / In costruzione
07/05/2023,Torino,Parella,via Giovanni Servais,376000,130,2,Si,4,2,,Nuovo / In costruzione
07/05/2023,Torino,Lingotto,piazza Carducci,266000,115,4,Si,5,1,,Nuovo / In costruzione
07/05/2023,Torino,Don Bosco,via Don Giovanni Bosco,245000,90,1,No,2,1,,Nuovo / In costruzione
07/05/2023,Torino,Nizza Millefonti,via Nizza,383000,135,1,Si,5,1,,Nuovo / In costruzione
07/05/2023,Torino,San Salvario - Dante,piazza Arturo Graf,572000,170,4,Si,5,2,,Nuovo / In costruzione
07/05/2023,Torino,Lingotto,piazza Carducci,225000,90,3,Si,3,1,,Nuovo / In costruzione
07/05/2023,Torino,Pozzo Strada,corso Filippo Brunelleschi,315000,120,6,Si,3,1,,Nuovo / In costruzione
07/05/2023,Torino,Vanchiglia,via Giulia Di Barolo,415000,110,4,Si,4,2,,Nuovo / In costruzione
07/05/2023,Torino,San Salvario - Dante,via Nizza,450000,140,2,Si,4,3,,Nuovo / In costruzione
07/05/2023,Torino,Nizza Millefonti,via Finalmarina,215000,90,4,Si,4,1,,Nuovo / In costruzione
07/05/2023,Torino,Aurora,via Alessandria,215000,90,4,No,4,1,,Nuovo / In costruzione
19/09/2022,Torino,Aurora,via Antonio Cecchi,176000,90,2,Si,4,1,,Nuovo / In costruzione
08/05/2023,Torino,San Paolo,via Rivalta 42,110000,55,3,Si,2,1,1960,Da ristrutturare
08/05/2023,Torino,Nizza Millefonti,via Ellero 29,69000,62,5,Si,2,1,1970,Buono / Abitabile
08/05/2023,Torino,Borgo Vittoria,via Emilio Bongiovanni 31,29900,50,4,No,2,1,1960,Buono / Abitabile
07/05/2023,Torino,Madonna di Campagna,via Assisi,30000,44,3,No,3,1,,Buono / Abitabile
08/05/2023,Torino,Pozzo Strada,via Bardonecchia 121,125000,58,0,Si,2,1,,Ottimo / Ristrutturato
07/05/2023,Torino,Lucento,corso Cincinnato,24750,66,1,No,4,1,,Buono / Abitabile
08/05/2023,Torino,Parella,corso Monte Grappa,54900,65,7,Si,4,1,,Buono / Abitabile
08/05/2023,Torino,Barriera di Milano,via Brandizzo,18240,51,5,No,3,1,,
08/05/2023,Torino,Aurora,via Pinerolo,38775,59,1,Si,3,1,,Buono / Abitabile
08/05/2023,Torino,Aurora,corso Novara,31125,48,2,No,3,1,,Buono / Abitabile
08/05/2023,Torino,Borgo Vittoria,via Breglio,117000,89,5,Si,5,2,,
12/09/2023,Torino,Falchera,via Stefano Tempia,74175,117,1,Si,4,1,1986,Buono / Abitabile
27/06/2023,Torino,Santa Rita,via Gradisca,52350,56,1,Si,3,1,1986,Buono / Abitabile
08/05/2023,Torino,Campidoglio,corso Alessandro Tassoni,120000,65,0,Si,3,1,,Nuovo / In costruzione
08/05/2023,Torino,San Salvario - Dante,via Saluzzo 64,96500,55,2,Si,2,1,1965,Ottimo / Ristrutturato
08/05/2023,Torino,Pozzo Strada,via Villa Giusti 10,187000,86,3,No,3,1,1970,Ottimo / Ristrutturato
08/05/2023,Torino,San Paolo,via Caraglio 3,99000,60,2,No,2,1,,Ottimo / Ristrutturato
07/05/2023,Torino,Crocetta,via Vincenzo Vela 36,225000,81,3,Si,3,1,1900,Buono / Abitabile
08/05/2023,Torino,San Donato,via Luigi Cibrario 73,129000,75,3,No,3,1,,Ottimo / Ristrutturato
07/05/2023,Torino,Aurora,via Clemente Damiano Priocca,240000,100,4,Si,4,1,1935,Ottimo / Ristrutturato
07/05/2023,Torino,Cenisia,via Vigone 55,75000,65,1,Si,2,1,1967,Buono / Abitabile
07/05/2023,Torino,Madonna di Campagna,via Caluso 31,79000,75,1,No,3,1,1953,Da ristrutturare
08/05/2023,Torino,Mirafiori Sud - Strada del Drosso,via Buriasco,166000,75,2,Si,3,1,,Nuovo / In costruzione
08/05/2023,Torino,Don Bosco,corso Umbria,179000,65,2,Si,3,1,,Nuovo / In costruzione
08/05/2023,Torino,Aurora,corso Principe Oddone,204000,80,2,Si,3,1,,Nuovo / In costruzione
08/05/2023,Torino,Nizza Millefonti,via Nizza,188000,85,2,Si,3,2,,Nuovo / In costruzione
08/05/2023,Torino,Le Vallette,corso Molise,172000,85,5,Si,4,1,,Nuovo / In costruzione
08/05/2023,Torino,San Donato,via Alessandro Paravia,231000,85,2,Si,3,1,,Nuovo / In costruzione
08/05/2023,Torino,Santa Rita,via Filadelfia,248000,95,7,Si,3,1,,Nuovo / In costruzione
08/05/2023,Torino,Santa Rita,via Gorizia,211000,75,2,Si,3,1,,Nuovo / In costruzione
08/05/2023,Torino,Crocetta,corso Galileo Ferraris,546000,160,3,Si,5,2,,Nuovo / In costruzione
08/05/2023,Torino,Crocetta,corso Duca Degli Abruzzi,254000,75,1,No,3,1,,Nuovo / In costruzione
08/05/2023,Torino,Mirafiori Nord,via Paso Buole,201000,85,1,Si,3,1,,Nuovo / In costruzione
08/05/2023,Torino,San Donato,via Pietro Palmieri,435000,120,5,Si,4,1,,Nuovo / In costruzione
08/05/2023,Torino,Borgo Vittoria,via Bibiana,213000,90,3,Si,3,1,,Nuovo / In costruzione
08/05/2023,Torino,San Salvario - Dante,corso Dante Alighieri,254000,80,3,Si,3,1,,Nuovo / In costruzione
08/05/2023,Torino,Parella,corso Bernardino Telesio,245000,90,4,Si,4,1,,Nuovo / In costruzione
08/05/2023,Torino,Nizza Millefonti,via Genova,175000,75,4,Si,3,1,,Nuovo / In costruzione
08/05/2023,Torino,Mirafiori Sud - Onorato Vigliani,via Canelli,208000,80,2,Si,3,1,,Nuovo / In costruzione
08/05/2023,Torino,San Salvario - Dante,via Giorgio Bidone,368000,95,1,Si,4,1,,Nuovo / In costruzione
08/05/2023,Torino,San Donato,via Carlo Bossi,485000,180,1,Si,5,2,,Nuovo / In costruzione
08/05/2023,Torino,Aurora,via Cigna,192000,85,3,Si,3,1,,Nuovo / In costruzione
08/05/2023,Torino,Nizza Millefonti,via Testona,334000,120,2,Si,5,1,,Nuovo / In costruzione
08/05/2023,Torino,San Paolo,via Tolmino,452000,140,5,Si,4,2,,Nuovo / In costruzione
08/05/2023,Torino,San Salvario - Dante,via Saluzzo,357000,110,1,Si,4,1,,Nuovo / In costruzione
08/05/2023,Torino,San Salvario - Dante,via Nizza,454000,140,3,Si,4,2,,Nuovo / In costruzione
08/05/2023,Torino,Santa Rita,via Castelgomberto,215000,90,1,Si,4,1,,Nuovo / In costruzione
07/05/2023,Torino,Borgo Vittoria,via Gandino,28500,68,0,No,4,1,,Buono / Abitabile
08/05/2023,Torino,San Salvario - Baretti,via Baretti,169500,147,1,Si,5,2,,Buono / Abitabile
08/05/2023,Torino,Barriera di Lanzo,via Andrea Paris 10,55000,51,2,No,1,1,1970,Buono / Abitabile
06/05/2023,Torino,Santa Rita,via lesegno 72,129000,85,0,Si,3,1,1960,Buono / Abitabile
06/05/2023,Torino,Vanchiglia,via sant'ottavio 57,209000,78,2,Si,3,1,1930,Buono / Abitabile
08/05/2023,Torino,Mirafiori Nord,corso Orbassano 260,269000,130,6,Si,5,2,1960,Buono / Abitabile
06/05/2023,Torino,Santa Rita,via Barletta 79,99000,53,2,Si,2,1,1967,Buono / Abitabile
06/05/2023,Torino,San Secondo,via Sacchi 2bis,314000,119,2,No,3,1,1900,Ottimo / Ristrutturato
06/05/2023,Torino,Lingotto,corso Sebastopoli 57,169000,109,1,No,4,2,1950,Da ristrutturare
07/05/2023,Torino,Parella,corso Monte Grappa,315000,135,2,Si,4,2,1960,Ottimo / Ristrutturato
06/05/2023,Torino,Santa Rita,via Arbe 28,88000,55,2,Si,2,1,1960,Ottimo / Ristrutturato
06/05/2023,Torino,Parella,via Valentino Carrera 40,175000,95,4,Si,4,1,1960,Ottimo / Ristrutturato
08/05/2023,Torino,Madonna di Campagna,via Bernardino Luini 10,58000,60,1,Si,2,1,1955,Da ristrutturare
06/05/2023,Torino,Regio Parco,via Alessandro Cruto 19,79000,75,5,Si,3,1,1950,Buono / Abitabile
06/05/2023,Torino,Aurora,corso Regio Parco 5/B,950000,238,9,Si,5,3,2002,Ottimo / Ristrutturato
06/05/2023,Torino,Lucento,via Mazzè 16,75000,55,3,No,2,1,1955,Ottimo / Ristrutturato
06/05/2023,Torino,Santa Rita,via Matera 15,158000,95,5,Si,3,2,1960,Buono / Abitabile
06/05/2023,Torino,Parco Dora,via Macerata 19,65000,68,0,No,3,2,1920,Da ristrutturare
08/05/2023,Torino,Mirafiori Sud - Strada del Drosso,via Buriasco,176000,75,3,Si,3,1,,Nuovo / In costruzione
08/05/2023,Torino,Don Bosco,corso Umbria,162000,65,3,Si,3,1,,Nuovo / In costruzione
08/05/2023,Torino,Aurora,corso Principe Oddone,222000,100,2,Si,3,1,,Nuovo / In costruzione
06/05/2023,Torino,Vanchiglietta,via Oropa 100,164000,87,1,Si,3,1,1960,Da ristrutturare
06/05/2023,Torino,Barriera di Milano,via BELMONTE 10,29000,60,0,No,2,1,1940,Da ristrutturare
06/05/2023,Torino,Santa Rita,via Filadelfia 181,129000,70,3,Si,3,1,1967,Buono / Abitabile
08/05/2023,Torino,Nizza Millefonti,via Varaita,261000,100,1,Si,4,1,,Nuovo / In costruzione
08/05/2023,Torino,Le Vallette,corso Molise,214000,105,3,Si,4,1,,Nuovo / In costruzione
08/05/2023,Torino,Crocetta,corso Alcide De Gasperi,319000,90,3,Si,3,1,,Nuovo / In costruzione
08/05/2023,Torino,Santa Rita,via Filadelfia,290000,120,1,Si,4,1,,Nuovo / In costruzione
08/05/2023,Torino,Mirafiori Nord,via Paso Buole,138000,70,5,Si,3,1,,Nuovo / In costruzione
08/05/2023,Torino,Santa Rita,corso Orbassano,218000,80,5,Si,3,1,,Nuovo / In costruzione
08/05/2023,Torino,Mirafiori Nord,via Nizza,175000,75,6,Si,3,1,,Nuovo / In costruzione
08/05/2023,Torino,Le Vallette,via delle Pervinche 41,69000,70,1,No,2,1,1965,Ottimo / Ristrutturato
06/05/2023,Torino,Santa Rita,via Barletta 109/34,100000,67,1,Si,2,1,2020,Nuovo / In costruzione
08/05/2023,Torino,Parella,via Crevacuore,254000,90,5,Si,4,1,,Nuovo / In costruzione
08/05/2023,Torino,Santa Rita,via Baltimora,412000,170,1,Si,5,2,,Nuovo / In costruzione
08/05/2023,Torino,Borgo Vittoria,via Mihcele Coppino,170000,85,5,Si,3,1,,Nuovo / In costruzione
08/05/2023,Torino,San Paolo,via Francesco Millio,350000,95,2,Si,4,2,,Nuovo / In costruzione
08/05/2023,Torino,San Salvario - Dante,via Belfiore,175000,60,1,No,3,1,,Nuovo / In costruzione
08/05/2023,Torino,Nizza Millefonti,via Testona,334000,120,2,Si,5,1,,Nuovo / In costruzione
08/05/2023,Torino,Parella,via Valentino Carrera,191000,70,3,Si,2,1,,Nuovo / In costruzione
08/05/2023,Torino,San Donato,via Carlo Vidua,215000,80,1,Si,3,2,,Nuovo / In costruzione
08/05/2023,Torino,Mirafiori Sud - Onorato Vigliani,piazza Bengasi,215000,90,4,Si,3,1,,Nuovo / In costruzione
08/05/2023,Torino,San Donato,via Giacinto Collegno,322000,100,4,Si,4,1,,Nuovo / In costruzione
05/05/2023,Torino,Mirafiori Nord,corso orbassano,225000,100,6,Si,4,2,1960,Buono / Abitabile
08/05/2023,Torino,Cenisia,via virle 18,79000,65,0,No,2,1,1950,Buono / Abitabile
08/05/2023,Torino,Lucento,corso Toscana 69,88000,80,3,Si,3,1,1960,Buono / Abitabile
07/05/2023,Torino,Parella,via Valentino Carrera,55800,66,1,Si,3,1,,Buono / Abitabile
05/05/2023,Torino,Le Vallette,via Pianezza,31500,105,1,No,5,2,,
08/05/2023,Torino,Pozzo Strada,via Luigi Ferdinando Marsigli 117,119000,50,1,No,2,1,1960,Ottimo / Ristrutturato
08/05/2023,Torino,Campidoglio,via Saluggia 16,139000,75,1,No,3,1,,Buono / Abitabile
05/05/2023,Torino,San Salvario - Dante,corso Dante Alighieri 72,189000,78,4,Si,3,1,1920,Ottimo / Ristrutturato
05/05/2023,Torino,Borgo Vittoria,via PALLI,54000,64,2,Si,2,1,1960,Da ristrutturare
05/05/2023,Torino,San Salvario - Dante,via Pio Foà 86,87000,50,4,Si,2,1,1900,Ottimo / Ristrutturato
08/05/2023,Torino,Santa Rita,via Buenos Aires 41,149000,75,6,Si,3,1,1960,Ottimo / Ristrutturato
06/05/2023,Torino,Centro Europa,via Biscarra Giovanni Battista e Carlo Felice,169000,85,5,Si,3,1,1970,Ottimo / Ristrutturato
08/05/2023,Torino,Crocetta,corso Mediterraneo 122,195000,80,0,Si,4,1,1970,Buono / Abitabile
05/05/2023,Torino,Quadrilatero Romano,via San Domenico,428000,130,0,Si,4,1,1700,Ottimo / Ristrutturato
05/05/2023,Torino,Quadrilatero Romano,via San Domenico,288000,95,0,Si,2,1,1700,Ottimo / Ristrutturato
08/05/2023,Torino,San Paolo,via Monginevro 93,150000,86,2,Si,3,1,1900,Buono / Abitabile
06/05/2023,Torino,Madonna di Campagna,via GUBBIO 72,59000,50,3,Si,2,1,1970,Ottimo / Ristrutturato
06/05/2023,Torino,Pozzo Strada,via Arvier 4 Bis,178000,72,4,Si,3,1,1959,Ottimo / Ristrutturato
08/05/2023,Torino,Lucento,via Pietro Cossa 280/40,275000,97,3,Si,3,1,1980,Ottimo / Ristrutturato
05/05/2023,Torino,Lingotto,via Albisola 10,95000,67,2,Si,3,1,1955,Buono / Abitabile
05/05/2023,Torino,Santa Rita,via San Marino 89/20,58000,45,0,Si,2,1,1967,Buono / Abitabile
05/05/2023,Torino,Quadrilatero Romano,via San Domenico,288000,95,0,Si,2,1,1700,Ottimo / Ristrutturato
05/05/2023,Torino,Pozzo Strada,via San Giorgio Canavese 3,119000,57,3,Si,2,1,,Ottimo / Ristrutturato
05/05/2023,Torino,Aurora,via Mondovì,30750,51,4,Si,2,4,1967,Buono / Abitabile
06/05/2023,Torino,San Salvario - Dante,via Giotto 21,79000,61,2,No,2,1,1936,Buono / Abitabile
05/05/2023,Torino,Crocetta,corso Alcide De Gasperi 27,149000,85,6,Si,3,1,1930,Buono / Abitabile
06/05/2023,Torino,San Paolo,via Serrano 24,265000,145,1,Si,5,2,1990,Ottimo / Ristrutturato
05/05/2023,Torino,Lucento,via Val Della Torre,179000,90,4,Si,4,2,2005,Nuovo / In costruzione
05/05/2023,Torino,San Paolo,via Carrù 6,125000,70,4,Si,2,1,1950,Buono / Abitabile
05/05/2023,Torino,Lucento,piazza Nazario Sauro 18,50000,50,6,Si,2,1,1970,Da ristrutturare
05/05/2023,Torino,Lucento,via luini 96,69000,50,4,Si,3,1,1960,Da ristrutturare
06/05/2023,Torino,Cittadella,via Carlo Boucheron 8,119000,58,0,Si,2,1,1900,Buono / Abitabile
05/05/2023,Torino,San Donato,corso Francia 58,430000,150,2,Si,5,2,1890,Buono / Abitabile
07/05/2023,Torino,Vanchiglietta,via Oropa 120B,95000,50,2,Si,2,1,1963,Buono / Abitabile
08/05/2023,Torino,San Secondo,corso Filippo Turati 59,140000,85,2,No,4,1,1940,Buono / Abitabile
06/05/2023,Torino,San Paolo,via Malta 9,255000,121,4,Si,5,1,1950,Buono / Abitabile
05/05/2023,Torino,Barca,via Giovanni Martina 25,159000,85,1,Si,4,2,1990,Ottimo / Ristrutturato
08/05/2023,Torino,Cenisia,via Frossasco 4,99000,79,3,No,3,1,1930,Buono / Abitabile
06/05/2023,Torino,Cenisia,via Frossasco 4,70000,49,3,No,2,1,1930,Buono / Abitabile
05/05/2023,Torino,San Paolo,via Paolo Braccini 56,89000,50,0,No,2,1,1919,Buono / Abitabile
05/05/2023,Torino,Piazza Solferino,via San Quintino 15,279000,75,3,Si,2,1,1900,Ottimo / Ristrutturato
05/05/2023,Torino,Parella,corso Bernardino Telesio 28,379000,205,2,Si,5,2,1968,Buono / Abitabile
08/05/2023,Torino,San Secondo,via Ludovico Antonio Muratori 8,219000,85,1,Si,3,1,2000,Nuovo / In costruzione
05/05/2023,Torino,Vanchiglietta,via Oslavia 22,158000,72,4,Si,3,1,1959,Buono / Abitabile
